user_id,media_id,rating
1,20,-1
1,24,-1
1,79,-1
1,226,-1
1,241,-1
1,355,-1
1,356,-1
1,442,-1
1,487,-1
1,846,-1
1,936,-1
1,1546,-1
1,1692,-1
1,1836,-1
1,2001,-1
1,2025,-1
1,2144,-1
1,2787,-1
1,2993,-1
1,3455,-1
1,4063,-1
1,4214,-1
1,4224,-1
1,4581,-1
1,4744,-1
1,4898,-1
1,4999,-1
1,5034,-1
1,5277,-1
1,5667,-1
1,5781,-1
1,5958,-1
1,6163,-1
1,6205,-1
1,6324,-1
1,6500,-1
1,6547,-1
1,6682,-1
1,6707,-1
1,6747,-1
1,6773,-1
1,6793,-1
1,7088,-1
1,7148,-1
1,7593,-1
1,7739,-1
1,7858,-1
1,8074,10
1,8407,-1
1,8424,-1
1,8525,-1
1,8630,-1
1,8841,-1
1,9041,-1
1,9062,-1
1,9136,-1
1,9181,-1
1,9330,-1
1,9367,-1
1,9515,-1
1,9581,-1
1,9675,-1
1,9750,-1
1,9790,-1
1,9919,-1
1,10067,-1
1,10073,-1
1,10076,-1
1,10079,-1
1,10080,-1
1,10209,-1
1,10578,-1
1,10604,-1
1,10719,-1
1,10790,-1
1,10793,-1
1,10794,-1
1,10805,-1
1,10897,-1
1,11161,-1
1,11266,-1
1,11617,10
1,11737,-1
1,11757,10
1,11759,-1
1,11771,-1
1,12293,-1
1,12549,-1
1,12729,-1
1,13357,-1
1,13367,-1
1,13411,-1
1,13561,-1
1,13663,-1
1,13759,-1
1,14749,-1
1,14813,-1
1,14833,-1
1,14967,-1
1,15117,-1
1,15437,-1
1,15451,10
1,15583,-1
1,15609,-1
1,16011,-1
1,16498,-1
1,16706,-1
1,17265,-1
1,17729,-1
1,18247,-1
1,18277,-1
1,18753,-1
1,18897,-1
1,19163,-1
1,19221,-1
1,19285,-1
1,19429,-1
1,19815,-1
1,20045,-1
1,20785,-1
1,20787,-1
1,21033,-1
1,21881,-1
1,22147,-1
1,22199,-1
1,22319,-1
1,22535,-1
1,22547,-1
1,22663,-1
1,22877,-1
1,23233,-1
1,23321,-1
1,23847,-1
1,24133,-1
1,24455,-1
1,24873,-1
1,25099,-1
1,25157,-1
1,25159,-1
1,25283,-1
1,25397,-1
1,26243,-1
1,27775,-1
1,27899,-1
1,28121,-1
1,28677,-1
1,29093,-1
1,29095,-1
1,30015,-1
1,30296,-1
1,30544,-1
1,31338,-1
1,31845,-1
2,11771,10
2,12189,-1
2,16417,-1
3,20,8
3,154,6
3,170,9
3,199,10
3,225,9
3,341,6
3,430,7
3,527,7
3,552,7
3,813,10
3,1119,7
3,1121,7
3,1122,7
3,1132,8
3,1292,6
3,1313,8
3,1526,7
3,1535,10
3,1564,7
3,1689,8
3,1764,6
3,1943,8
3,2201,7
3,2404,7
3,2847,7
3,3588,8
3,4026,7
3,5114,10
3,5231,8
3,6178,7
3,6702,8
3,6880,6
3,7695,7
3,8074,6
3,9107,6
3,9135,7
3,9760,9
3,9917,8
3,9919,8
3,9989,10
3,10408,7
3,10507,8
3,11111,8
3,11703,6
3,11737,7
3,11757,9
3,11759,7
3,11771,10
3,12671,3
3,14075,8
3,14093,7
3,14345,8
3,14513,10
3,16498,10
3,16512,5
3,16782,7
3,16894,10
3,16918,8
3,17265,7
3,18097,7
3,18115,10
3,18393,7
3,19315,3
3,19815,9
3,20021,5
3,20159,10
3,20507,8
3,20583,9
3,21507,6
3,21881,7
3,22199,8
3,22297,8
3,22319,6
3,22547,6
3,22729,7
3,23301,8
3,23321,6
3,23333,4
3,23755,8
3,24415,10
3,26243,6
3,27631,8
3,27899,8
3,28121,9
3,28171,10
3,28223,6
3,28497,7
3,28701,9
3,28891,9
3,29854,6
3,30276,-1
3,30503,-1
3,31043,10
3,31859,7
4,6,-1
4,72,-1
4,121,-1
4,150,-1
4,166,-1
4,205,-1
4,226,-1
4,857,-1
4,1292,-1
4,1498,-1
4,1535,-1
4,1691,-1
4,2025,-1
4,2966,-1
4,2993,-1
4,3588,-1
4,4063,-1
4,4214,-1
4,4970,-1
4,5341,-1
4,6347,-1
4,6547,-1
4,6702,-1
4,6747,-1
4,7088,-1
4,8525,-1
4,9919,-1
4,10165,-1
4,10620,-1
4,11757,-1
4,14513,-1
4,14765,-1
4,16009,-1
4,16498,-1
4,16742,-1
4,16890,-1
4,17265,-1
4,17505,-1
4,17777,-1
4,18115,-1
4,18153,-1
4,18229,-1
4,18507,-1
4,18679,-1
4,19769,-1
4,20053,-1
4,20431,-1
4,20689,-1
4,20931,-1
4,20973,-1
4,21067,-1
4,21085,-1
5,6,8
5,15,6
5,17,6
5,18,6
5,20,6
5,22,5
5,24,1
5,30,1
5,45,7
5,47,8
5,57,7
5,63,1
5,67,6
5,68,6
5,132,6
5,136,8
5,137,8
5,138,6
5,139,6
5,150,2
5,152,4
5,166,6
5,170,6
5,174,5
5,185,6
5,186,6
5,189,1
5,190,1
5,195,4
5,199,8
5,205,8
5,223,6
5,225,1
5,232,3
5,240,4
5,241,1
5,245,10
5,248,1
5,249,1
5,250,5
5,263,7
5,264,8
5,265,7
5,268,7
5,269,3
5,272,5
5,288,2
5,292,7
5,335,3
5,344,7
5,371,3
5,379,6
5,390,3
5,392,7
5,406,6
5,442,4
5,443,4
5,448,3
5,481,3
5,482,5
5,487,1
5,508,3
5,517,3
5,527,6
5,528,7
5,534,7
5,550,2
5,552,7
5,709,6
5,760,2
5,761,5
5,813,5
5,846,1
5,861,2
5,874,7
5,896,4
5,898,5
5,903,1
5,905,6
5,914,7
5,918,9
5,936,5
5,981,5
5,987,2
5,1117,7
5,1132,5
5,1138,5
5,1195,1
5,1210,4
5,1253,7
5,1254,7
5,1257,7
5,1313,6
5,1469,5
5,1535,4
5,1559,5
5,1564,5
5,1614,5
5,1668,2
5,1669,2
5,1674,5
5,1685,-1
5,1689,7
5,1764,6
5,1840,1
5,1887,3
5,1913,8
5,1956,2
5,2034,3
5,2104,1
5,2116,5
5,2144,1
5,2159,7
5,2236,8
5,2248,5
5,2330,5
5,2363,6
5,2397,7
5,2398,7
5,2400,6
5,2418,9
5,2424,3
5,2472,5
5,2508,3
5,2594,8
5,2605,7
5,2684,6
5,2789,1
5,2907,5
5,2961,6
5,2962,6
5,2993,2
5,3228,7
5,3455,2
5,3503,1
5,3515,7
5,3588,5
5,3655,5
5,3702,9
5,3712,1
5,3887,7
5,3974,5
5,4015,1
5,4052,5
5,4063,2
5,4106,-1
5,4214,2
5,4224,3
5,4437,5
5,4472,3
5,4548,5
5,4654,6
5,4667,1
